# Clima band-resolved TOA OLR for the early-Mars column of Kopparapu et al.
# (2013) Figure 1 -- **the actual run used in that paper**, provided directly by
# R. Kopparapu as clima_2bar.dat (55-interval IR grid, spectral flux density in
# W/m2/cm-1; converted here to per-band W/m2 by multiplying by the interval
# width).  Mars-mass planet (g = 3.73 m/s2), 2 bar 95% CO2 / 5% N2, Ts = 250 K,
# 167 K isothermal stratosphere.
#
# Integrated total = 84.631 W/m2 (quoted as 86 W/m2 in the paper).
#
# This file REPLACES an earlier ExoColumn reproduction of the deck run through
# the patched public Clima at /models/atmos.  That reproduction used Clima's
# standard saturated-troposphere inverse mode (IMW=0, RSURF=1) and gave 77.0
# W/m2; comparison with the data below showed the published run was effectively
# H2O-FREE.  The decisive band is 1200-2000 cm-1, whose only absorber here is
# the H2O nu2 band: Kopparapu's run gives 3.27 W/m2 where the saturated
# reproduction gives 1.07 and the driest the public Clima will produce (its
# f_H2O floor, ~3e-5) gives 1.84.  Everything else agrees closely -- the four
# CO2-CIA-dominated intervals below 220 cm-1 match the reproduction to
# 0.006 W/m2 -- which independently confirms the 2 bar / 95:5 / Mars-gravity /
# T(p) setup.  The benchmark column is therefore DRY; see the README.
#
# columns: wl_cm-1  wu_cm-1  olr_W/m2
       0.0      40.0   6.457200e-02
      40.0     100.0   9.339000e-01
     100.0     160.0   2.485500e+00
     160.0     220.0   4.294740e+00
     220.0     280.0   7.059600e+00
     280.0     330.0   9.521500e+00
     330.0     380.0   1.123000e+01
     380.0     440.0   1.164000e+01
     440.0     495.0   6.353050e+00
     495.0     545.0   3.820550e+00
     545.0     617.0   3.652992e+00
     617.0     667.0   1.953750e+00
     667.0     720.0   1.671355e+00
     720.0     800.0   1.968000e+00
     800.0     875.0   2.700600e+00
     875.0     940.0   4.016935e+00
     940.0    1000.0   1.845540e+00
    1000.0    1065.0   2.552940e+00
    1065.0    1108.0   1.068206e+00
    1108.0    1200.0   2.478756e+00
    1200.0    1275.0   2.152125e-01
    1275.0    1350.0   8.922750e-02
    1350.0    1450.0   6.878200e-02
    1450.0    1550.0   1.101000e-01
    1550.0    1650.0   1.136800e+00
    1650.0    1750.0   1.008200e+00
    1750.0    1850.0   6.183200e-01
    1850.0    1950.0   1.941500e-02
    1950.0    2050.0   1.387600e-02
    2050.0    2200.0   8.253000e-04
    2200.0    2397.0   2.197929e-04
    2397.0    2494.0   3.713063e-05
    2494.0    2796.0   2.456921e-02
    2796.0    3087.0   1.196912e-02
    3087.0    3425.0   1.006125e-03
    3425.0    3760.0   3.707780e-06
    3760.0    4030.0   3.265380e-05
    4030.0    4540.0   2.163726e-05
    4540.0    4950.0   6.839620e-07
    4950.0    5370.0   2.966208e-08
    5370.0    5925.0   2.551390e-08
    5925.0    6390.0   3.389013e-10
    6390.0    6990.0   5.420040e-11
    6990.0    7650.0   2.998512e-12
    7650.0    8315.0   9.947735e-14
    8315.0    8850.0   0.000000e+00
    8850.0    9350.0   0.000000e+00
    9350.0    9650.0   0.000000e+00
    9650.0   10400.0   0.000000e+00
   10400.0   11220.0   0.000000e+00
   11220.0   11870.0   0.000000e+00
   11870.0   12790.0   0.000000e+00
   12790.0   13300.0   0.000000e+00
   13300.0   14470.0   0.000000e+00
   14470.0   15000.0   0.000000e+00
