# CLIMA (atmos repo, /models/atmos) band-resolved TOA OLR for the OHZ
# max-greenhouse column matched to ExoColumn's Seff-minimum (pCO2=8.87 bar
# +1 bar N2, Ts=273 K, 154 K isothermal stratosphere, CO2-condensation
# adiabat; INVERSE=1/IMW=0/IUP=1/PGO=9.87 bar; CLIMA built P=9.876 bar,
# Ts=273.0, FCO2~0.85).  Two k-coefficient generations through the SAME
# 55-interval ir.f (BPS continuum + CO2-CO2 CIA):
#   olr_2013era : NEWHITRAN_ir_55_H2O + Ramses_HITRAN_ir_55_CO2 (Kopparapu
#                 2013 default; total 0-2000 cm-1 = 69.3 W/m2)
#   olr_wolf2016: Wolf_HITRAN2016_ir_55_{H2O,CO2} (2021; total = 72.2 W/m2)
# cf ExoRT n68 = 75.4 W/m2; independent LBL envelope [44.3 pure-Lorentz,
# 91.7 PH89-chi].  Generated 2026-06-13 via the band-OLR patch in ir.f
# (last 55 rows of CLIMA/IO/ir_band_olr.tab, erg/cm2/s x1e-3 -> W/m2).
# columns: wl_cm-1  wu_cm-1  olr_2013era_W/m2  olr_wolf2016_W/m2
      0.0      40.0   6.529041e-02   6.529377e-02
     40.0     100.0   9.287533e-01   9.289972e-01
    100.0     160.0   2.545066e+00   2.549091e+00
    160.0     220.0   4.444900e+00   4.470195e+00
    220.0     280.0   6.365761e+00   6.472082e+00
    280.0     330.0   6.743260e+00   7.018332e+00
    330.0     380.0   7.986896e+00   8.617645e+00
    380.0     440.0   9.349353e+00   1.083379e+01
    440.0     495.0   6.677714e+00   7.330683e+00
    495.0     545.0   4.446153e+00   4.651424e+00
    545.0     617.0   3.449456e+00   3.428493e+00
    617.0     667.0   1.230331e+00   1.228675e+00
    667.0     720.0   1.013614e+00   1.012129e+00
    720.0     800.0   1.870945e+00   1.797927e+00
    800.0     875.0   2.903322e+00   2.609023e+00
    875.0     940.0   2.776463e+00   2.464154e+00
    940.0    1000.0   1.600061e+00   1.536893e+00
   1000.0    1065.0   1.653295e+00   1.837032e+00
   1065.0    1108.0   9.031748e-01   8.474528e-01
   1108.0    1200.0   1.289736e+00   1.289370e+00
   1200.0    1275.0   2.743534e-01   2.730015e-01
   1275.0    1350.0   1.037679e-01   1.037106e-01
   1350.0    1450.0   8.116593e-02   8.101355e-02
   1450.0    1550.0   1.301844e-01   1.315633e-01
   1550.0    1650.0   1.949648e-01   2.374289e-01
   1650.0    1750.0   1.144271e-01   1.602577e-01
   1750.0    1850.0   1.561716e-01   2.009480e-01
   1850.0    1950.0   1.356957e-02   1.271677e-02
   1950.0    2050.0   9.169953e-03   9.353339e-03
   2050.0    2200.0   1.251008e-03   1.288371e-03
   2200.0    2397.0   9.681676e-05   8.239007e-05
   2397.0    2494.0   2.523550e-05   2.271239e-05
   2494.0    2796.0   7.151833e-02   2.357858e-02
   2796.0    3087.0   3.752028e-02   3.848165e-02
   3087.0    3425.0   1.033660e-03   1.099717e-03
   3425.0    3760.0   5.235141e-07   2.476261e-07
   3760.0    4030.0   3.074581e-06   2.244809e-06
   4030.0    4540.0   3.597983e-05   3.620700e-05
   4540.0    4950.0   3.753128e-06   2.760306e-06
   4950.0    5370.0   2.507233e-08   2.399233e-08
   5370.0    5925.0   1.914830e-07   1.721208e-07
   5925.0    6390.0   4.196386e-09   3.180803e-09
   6390.0    6990.0   7.203656e-10   6.302206e-10
   6990.0    7650.0   2.157775e-12   2.037735e-12
   7650.0    8315.0   2.488989e-12   2.306299e-12
   8315.0    8850.0   1.504541e-13   1.427376e-13
   8850.0    9350.0   1.251188e-14   1.155540e-14
   9350.0    9650.0   6.433184e-16   5.944953e-16
   9650.0   10400.0   2.474507e-16   2.457964e-16
  10400.0   11220.0   3.680006e-18   3.742990e-18
  11220.0   11870.0   9.747885e-20   9.574627e-20
  11870.0   12790.0   2.483399e-21   2.465053e-21
  12790.0   13300.0   3.713256e-23   3.711744e-23
  13300.0   14470.0   1.079265e-24   1.073120e-24
  14470.0   15000.0   6.268257e-27   6.268135e-27
