# Band-resolved TOA OLR [W/m^2 per band] for the column in
# ohz_maxgh_profile.txt, on the ExoRT n68equiv band grid.
# This is exactly what is plotted in the right panel of the benchmark
# figure (there divided by the band width to give W/m^2/cm^-1).
#   exort_n68   : ExoRT n68equiv, this work        (total 75.49 W/m^2)
#   lbl_ph89chi : line-by-line, Perrin-Hartmann 1989 sub-Lorentzian
#                 chi-factor on the CO2 wings      (total 78.48 W/m^2)
#   lbl_lorentz : line-by-line, pure-Lorentz wings (total 44.13 W/m^2)
# 'nan' in the two LBL columns = band lies outside the 10-2000 cm^-1
# range of the line-by-line calculation (the ExoRT column is complete).
# The Clima band OLR is on its own 55-interval grid: see
# clima_band_olr_maxgh.txt (copied alongside this file).
# columns: wn_lo[cm-1]  wn_hi[cm-1]  exort_n68  lbl_ph89chi  lbl_lorentz
      0.00      40.00   8.329939e-02   8.073713e-02   8.073713e-02
     40.00     100.00   9.672301e-01   9.733110e-01   9.733108e-01
    100.00     160.00   2.592061e+00   2.620364e+00   2.612022e+00
    160.00     220.00   4.539939e+00   4.604352e+00   4.042343e+00
    220.00     280.00   6.600402e+00   6.702113e+00   4.988594e+00
    280.00     330.00   7.270157e+00   7.320939e+00   4.460371e+00
    330.00     380.00   8.876416e+00   8.778214e+00   4.389182e+00
    380.00     440.00   1.120471e+01   1.061720e+01   4.819912e+00
    440.00     495.00   7.682769e+00   7.308778e+00   3.757295e+00
    495.00     545.00   4.814122e+00   4.724845e+00   2.759951e+00
    545.00     617.00   3.563319e+00   3.582734e+00   2.759550e+00
    617.00     667.00   1.239066e+00   1.241044e+00   1.238568e+00
    667.00     720.00   1.022120e+00   1.027559e+00   1.024493e+00
    720.00     800.00   1.896913e+00   1.943511e+00   1.363931e+00
    800.00     875.00   2.781252e+00   2.930864e+00   1.117337e+00
    875.00     940.00   2.721646e+00   2.799427e+00   7.776025e-01
    940.00    1000.00   1.390250e+00   1.624950e+00   5.649331e-01
   1000.00    1065.00   1.944785e+00   1.832121e+00   4.775399e-01
   1065.00    1108.00   8.246257e-01   1.012118e+00   2.481048e-01
   1108.00    1200.00   2.140847e+00   5.341488e+00   5.199732e-01
   1200.00    1275.00   2.815527e-01   3.217707e-01   3.184390e-01
   1275.00    1350.00   1.272592e-01   1.252722e-01   1.252547e-01
   1350.00    1450.00   9.825062e-02   9.609321e-02   9.608107e-02
   1450.00    1550.00   1.460016e-01   1.564607e-01   1.562376e-01
   1550.00    1650.00   2.558986e-01   2.715182e-01   2.519046e-01
   1650.00    1750.00   1.743579e-01   1.948539e-01   1.666814e-01
   1750.00    1850.00   2.208203e-01   2.268343e-01   3.479604e-02
   1850.00    1950.00   1.456209e-02   1.336287e-02   1.446682e-03
   1950.00    2050.00   1.217293e-02   6.783658e-03   3.599341e-04
   2050.00    2200.00   1.573504e-03            nan            nan
   2200.00    2397.00   8.340654e-05            nan            nan
   2397.00    2494.00   2.679592e-05            nan            nan
   2494.00    2796.00   6.330591e-04            nan            nan
   2796.00    3087.00   1.214728e-04            nan            nan
   3087.00    3425.00   3.607845e-04            nan            nan
   3425.00    3760.00   7.065383e-08            nan            nan
   3760.00    4030.00   0.000000e+00            nan            nan
   4030.00    4540.00   0.000000e+00            nan            nan
   4540.00    4950.00   0.000000e+00            nan            nan
   4950.00    5370.00   0.000000e+00            nan            nan
   5370.00    5925.00   0.000000e+00            nan            nan
   5925.00    6390.00   0.000000e+00            nan            nan
   6390.00    6990.00   0.000000e+00            nan            nan
   6990.00    7650.00   0.000000e+00            nan            nan
   7650.00    8315.00   0.000000e+00            nan            nan
   8315.00    8850.00   0.000000e+00            nan            nan
   8850.00    9350.00   0.000000e+00            nan            nan
   9350.00    9650.00   0.000000e+00            nan            nan
   9650.00   10400.00   0.000000e+00            nan            nan
  10400.00   11220.00   0.000000e+00            nan            nan
  11220.00   11870.00   0.000000e+00            nan            nan
  11870.00   12790.00   0.000000e+00            nan            nan
  12790.00   13300.00   0.000000e+00            nan            nan
  13300.00   14470.00   0.000000e+00            nan            nan
  14470.00   15000.00   0.000000e+00            nan            nan
  15000.00   16000.00   0.000000e+00            nan            nan
  16000.00   16528.00   0.000000e+00            nan            nan
  16528.00   17649.00   0.000000e+00            nan            nan
  17649.00   18198.00   0.000000e+00            nan            nan
  18198.00   18518.00   0.000000e+00            nan            nan
  18518.00   22222.00   0.000000e+00            nan            nan
  22222.00   25641.00   0.000000e+00            nan            nan
  25641.00   29308.00   0.000000e+00            nan            nan
  29308.00   30376.00   0.000000e+00            nan            nan
  30376.00   32562.00   0.000000e+00            nan            nan
  32562.00   35087.00   0.000000e+00            nan            nan
  35087.00   36363.00   0.000000e+00            nan            nan
  36363.00   42087.00   0.000000e+00            nan            nan
