# ExoColumn outer-HZ max-greenhouse column; Ts=273.00 K, ps=987503.1980 Pa, g=9.80616 m/s2
# k=1 is the top layer, k=200 the surface layer; vmr = mole fraction of moist air
k,p_layer_Pa,T_layer_K,p_level_top_Pa,p_level_bot_Pa,T_level_top_K,T_level_bot_K,z_level_top_m,z_level_bot_m,vmr_CO2,vmr_N2,vmr_H2O
1,1.04820463e-02,154.000000,1.00000000e-02,1.09640925e-02,154.000000,154.000000,61204.4528,60920.9343,8.986749354e-01,1.013250542e-01,1.045393898e-08
2,1.14926125e-02,154.000000,1.09640925e-02,1.20211325e-02,154.000000,154.000000,60920.9343,60637.4158,8.986749354e-01,1.013250542e-01,1.045393898e-08
3,1.26006067e-02,154.000000,1.20211325e-02,1.31800810e-02,154.000000,154.000000,60637.4158,60353.8973,8.986749354e-01,1.013250542e-01,1.045393898e-08
4,1.38154218e-02,154.000000,1.31800810e-02,1.44507627e-02,154.000000,154.000000,60353.8973,60070.3787,8.986749354e-01,1.013250542e-01,1.045393898e-08
5,1.51473564e-02,154.000000,1.44507627e-02,1.58439500e-02,154.000000,154.000000,60070.3787,59786.8602,8.986749354e-01,1.013250542e-01,1.045393898e-08
6,1.66077017e-02,154.000000,1.58439500e-02,1.73714534e-02,154.000000,154.000000,59786.8602,59503.3417,8.986749354e-01,1.013250542e-01,1.045393898e-08
7,1.82088378e-02,154.000000,1.73714534e-02,1.90462223e-02,154.000000,154.000000,59503.3417,59219.8232,8.986749354e-01,1.013250542e-01,1.045393898e-08
8,1.99643383e-02,154.000000,1.90462223e-02,2.08824543e-02,154.000000,154.000000,59219.8232,58936.3046,8.986749354e-01,1.013250542e-01,1.045393898e-08
9,2.18890853e-02,154.000000,2.08824543e-02,2.28957162e-02,154.000000,154.000000,58936.3046,58652.7861,8.986749354e-01,1.013250542e-01,1.045393898e-08
10,2.39993956e-02,154.000000,2.28957162e-02,2.51030751e-02,154.000000,154.000000,58652.7861,58369.2676,8.986749354e-01,1.013250542e-01,1.045393898e-08
11,2.63131595e-02,154.000000,2.51030751e-02,2.75232439e-02,154.000000,154.000000,58369.2676,58085.7491,8.986749354e-01,1.013250542e-01,1.045393898e-08
12,2.88499916e-02,154.000000,2.75232439e-02,3.01767393e-02,154.000000,154.000000,58085.7491,57802.2305,8.986749354e-01,1.013250542e-01,1.045393898e-08
13,3.16313977e-02,154.000000,3.01767393e-02,3.30860562e-02,154.000000,154.000000,57802.2305,57518.7120,8.986749354e-01,1.013250542e-01,1.045393898e-08
14,3.46809572e-02,154.000000,3.30860562e-02,3.62758582e-02,154.000000,154.000000,57518.7120,57235.1935,8.986749354e-01,1.013250542e-01,1.045393898e-08
15,3.80245224e-02,154.000000,3.62758582e-02,3.97731867e-02,154.000000,154.000000,57235.1935,56951.6750,8.986749354e-01,1.013250542e-01,1.045393898e-08
16,4.16904383e-02,154.000000,3.97731867e-02,4.36076899e-02,154.000000,154.000000,56951.6750,56668.1564,8.986749354e-01,1.013250542e-01,1.045393898e-08
17,4.57097823e-02,154.000000,4.36076899e-02,4.78118748e-02,154.000000,154.000000,56668.1564,56384.6379,8.986749354e-01,1.013250542e-01,1.045393898e-08
18,5.01166284e-02,154.000000,4.78118748e-02,5.24213820e-02,154.000000,154.000000,56384.6379,56101.1194,8.986749354e-01,1.013250542e-01,1.045393898e-08
19,5.49483351e-02,154.000000,5.24213820e-02,5.74752883e-02,154.000000,154.000000,56101.1194,55817.6009,8.986749354e-01,1.013250542e-01,1.045393898e-08
20,6.02458632e-02,154.000000,5.74752883e-02,6.30164380e-02,154.000000,154.000000,55817.6009,55534.0823,8.986749354e-01,1.013250542e-01,1.045393898e-08
21,6.60541219e-02,154.000000,6.30164380e-02,6.90918058e-02,154.000000,154.000000,55534.0823,55250.5638,8.986749354e-01,1.013250542e-01,1.045393898e-08
22,7.24223505e-02,154.000000,6.90918058e-02,7.57528953e-02,154.000000,154.000000,55250.5638,54967.0453,8.986749354e-01,1.013250542e-01,1.045393898e-08
23,7.94045353e-02,154.000000,7.57528953e-02,8.30561754e-02,154.000000,154.000000,54967.0453,54683.5268,8.986749354e-01,1.013250542e-01,1.045393898e-08
