# ============================================================================
# ExoColumn outer-HZ MAXIMUM-GREENHOUSE column
# The exact atmosphere used in the right-hand panel of the radiative-transfer
# benchmark figure (Fig. 2 of the ExoColumn paper; ExoRT n68equiv vs Clima vs
# line-by-line).  Clear sky, no aerosol, no clouds.
#
# Source file : reference/max_greenhouse/exocol_maxgh_8.87bar.nc
# Generated   : make_socrates_handoff.py
#
# This is the S_eff-minimum point of the outer-HZ sweep (Kopparapu et al. 2013
# Fig. 5 analogue): an inverse (prescribed-profile) calculation, NOT an RCE
# solution -- the profile below is an input, and only the fluxes are diagnosed.
#
# SETUP
#   Surface temperature   Ts   = 273.0000 K            (fixed)
#   Surface pressure      ps   = 987503.1980 Pa  = 9.875032 bar
#                              = 8.8700 bar CO2 + 1.0001 bar N2 (+ trace H2O)
#   Gravity               g    = 9.80616 m/s^2          (Earth)
#   Model top             p    = 0.01 Pa
#   Layers                     = 200 (index 1 = TOA, 200 = surface)
#   Dry-air mean mol. wt.      = 42.38907 g/mol
#   Dry-air cp                 = 857.058 J/kg/K
#   Stratosphere               = isothermal at 154 K (CO2-condensation cold trap)
#   Troposphere                = H2O-saturated (RH=1) moist adiabat from Ts,
#                                pinned to the CO2 saturation curve wherever the
#                                ascent supersaturates in CO2 (Kasting 1991),
#                                with cp_CO2 evaluated at the local temperature.
#                                CO2 is kept WELL MIXED (CO2 clouds neglected,
#                                as in Clima).
#   Composition                = CO2 + N2 + trace H2O only.  No O2, O3, CH4.
#
# SHORTWAVE (only if you also want the S_eff comparison; the figure is LW-only)
#   Stellar spectrum      = present-day Sun (G2V), S0 = 1360.0 W/m^2 at 1 AU
#   Surface albedo        = 0.32 (Lambertian, spectrally grey; direct & diffuse)
#   Zenith-angle handling = 6-point Gauss-Legendre hemispheric average, with the
#                           insolation normalised to S0/4.
#
# EXOCOLUMN / ExoRT n68equiv RESULT FOR THIS COLUMN (what SOCRATES should match)
#   OLR   (TOA LW up)     = 75.490  W/m^2
#   TOA SW down           = 339.986  W/m^2
#   TOA SW up             = 148.833  W/m^2   -> planetary albedo = 0.4378
#   Surface LW down       = 315.204  W/m^2
#   Surface SW down       = 161.349  W/m^2
#   S_eff = OLR / (SWdn-SWup) = 0.3949
#   For reference, other models on this same column (0-2000 cm^-1 OLR):
#     Clima, Kopparapu-2013 k-coeffs   69.4 W/m^2
#     Clima, Wolf HITRAN-2016 k-coeffs 72.3 W/m^2
#     ExoRT n68equiv (this work)       75.5 W/m^2
#     LBL, PH89 sub-Lorentzian chi     78.5 W/m^2   (transparent far-wing bound)
#     LBL, pure-Lorentz wings          44.1 W/m^2   (opaque far-wing bound)
#
# NOTE ON MIXING RATIOS: vmr = mole fraction of TOTAL (moist) air, so the three
# columns sum to 1 at every layer.  H2O is a trace species here (<= 2.2e-4 by
# mass), so CO2/N2 are effectively constant with height.
# ============================================================================

# TABLE 1 -- LEVELS (interfaces), index 1 = model top, 201 = surface
#     i        p_level[Pa]     T_level[K]     z_level[m]
      1     1.00000000e-02     154.000000     61204.4528
      2     1.09640925e-02     154.000000     60920.9343
      3     1.20211325e-02     154.000000     60637.4158
      4     1.31800810e-02     154.000000     60353.8973
      5     1.44507627e-02     154.000000     60070.3787
      6     1.58439500e-02     154.000000     59786.8602
      7     1.73714534e-02     154.000000     59503.3417
      8     1.90462223e-02     154.000000     59219.8232
      9     2.08824543e-02     154.000000     58936.3046
     10     2.28957162e-02     154.000000     58652.7861
     11     2.51030751e-02     154.000000     58369.2676
     12     2.75232439e-02     154.000000     58085.7491
     13     3.01767393e-02     154.000000     57802.2305
     14     3.30860562e-02     154.000000     57518.7120
     15     3.62758582e-02     154.000000     57235.1935
     16     3.97731867e-02     154.000000     56951.6750
     17     4.36076899e-02     154.000000     56668.1564
     18     4.78118748e-02     154.000000     56384.6379
     19     5.24213820e-02     154.000000     56101.1194
     20     5.74752883e-02     154.000000     55817.6009
     21     6.30164380e-02     154.000000     55534.0823
     22     6.90918058e-02     154.000000     55250.5638
     23     7.57528953e-02     154.000000     54967.0453
     24     8.30561754e-02     154.000000     54683.5268
     25     9.10635593e-02     154.000000     54400.0082
     26     9.98429292e-02     154.000000     54116.4897
     27     1.09468712e-01     154.000000     53832.9712
     28     1.20022508e-01     154.000000     53549.4527
     29     1.31593789e-01     154.000000     53265.9341
     30     1.44280648e-01     154.000000     52982.4156
     31     1.58190638e-01     154.000000     52698.8971
     32     1.73441679e-01     154.000000     52415.3786
     33     1.90163062e-01     154.000000     52131.8600
     34     2.08496541e-01     154.000000     51848.3415
     35     2.28597537e-01     154.000000     51564.8230
     36     2.50636455e-01     154.000000     51281.3044
     37     2.74800129e-01     154.000000     50997.7859
     38     3.01293404e-01     154.000000     50714.2674
     39     3.30340877e-01     154.000000     50430.7489
     40     3.62188794e-01     154.000000     50147.2303
     41     3.97107146e-01     154.000000     49863.7118
     42     4.35391950e-01     154.000000     49580.1933
     43     4.77367763e-01     154.000000     49296.6748
     44     5.23390433e-01     154.000000     49013.1562
     45     5.73850114e-01     154.000000     48729.6377
     46     6.29174576e-01     154.000000     48446.1192
     47     6.89832827e-01     154.000000     48162.6007
     48     7.56339096e-01     154.000000     47879.0821
     49     8.29257184e-01     154.000000     47595.5636
     50     9.09205251e-01     154.000000     47312.0451
     51     9.96861051e-01     154.000000     47028.5266
     52     1.09296768e+00     154.000000     46745.0080
     53     1.19833988e+00     154.000000     46461.4895
     54     1.31387093e+00     154.000000     46177.9710
     55     1.44054025e+00     154.000000     45894.4525
     56     1.57942166e+00     154.000000     45610.9339
     57     1.73169253e+00     154.000000     45327.4154
     58     1.89864371e+00     154.000000     45043.8969
     59     2.08169054e+00     154.000000     44760.3784
     60     2.28238477e+00     154.000000     44476.8598
     61     2.50242778e+00     154.000000     44193.3413
     62     2.74368498e+00     154.000000     43909.8228
     63     3.00820160e+00     154.000000     43626.3043
     64     3.29822008e+00     154.000000     43342.7857
     65     3.61619901e+00     154.000000     43059.2672
