# CLIMA (atmos repo, /models/atmos) band-resolved TOA OLR for the dense-H2O
# column of Kopparapu et al. (2013) Figure 2: Earth-mass planet, 4 bar N2
# background + saturated H2O, Ts = 400 K, 200 K isothermal stratosphere
# (IMW=0/RSURF=1/INVERSE=1/IUP=1/ND=101/P0=1e-8 bar/PGO=4 bar).  CLIMA builds
# ps = 6.4608 bar, matching the 6.5 bar quoted in the paper, with a surface
# H2O mole fraction of 0.381.  Two k-coefficient generations through the SAME
# 55-interval ir.f (BPS continuum):
#   olr_2013era : NEWHITRAN_ir_55_H2O + Ramses_HITRAN_ir_55_CO2 (Kopparapu
#                 2013 default; total = 275.9 W/m2)
#   olr_wolf2016: Wolf_HITRAN2016_ir_55_{H2O,CO2} (2021; total = 296.5 W/m2)
# cf ExoRT n68 = 303.2, and the values published in Kopparapu et al. (2013)
# Fig. 2 for this case: 285 W/m2 (their CLIMA) and 297 W/m2 (SMART).
# Generated 2026-08-24 via the band-OLR patch in CLIMA/RADTRANS/ir.f
# (last 55 rows of CLIMA/IO/ir_band_olr.tab, erg/cm2/s x1e-3 -> W/m2).
# columns: wl_cm-1  wu_cm-1  olr_2013era_W/m2  olr_wolf2016_W/m2
       0.0      40.0   9.551412e-02   1.000193e-01
      40.0     100.0   1.354926e+00   1.461959e+00
     100.0     160.0   3.785663e+00   4.072871e+00
     160.0     220.0   6.649601e+00   7.189562e+00
     220.0     280.0   9.494797e+00   1.023027e+01
     280.0     330.0   9.686295e+00   1.064176e+01
     330.0     380.0   1.124625e+01   1.231204e+01
     380.0     440.0   1.525172e+01   1.661718e+01
     440.0     495.0   1.485704e+01   1.638471e+01
     495.0     545.0   1.434694e+01   1.555494e+01
     545.0     617.0   2.139078e+01   2.280372e+01
     617.0     667.0   1.507709e+01   1.590632e+01
     667.0     720.0   1.551694e+01   1.654998e+01
     720.0     800.0   2.308742e+01   2.407837e+01
     800.0     875.0   2.106648e+01   2.166753e+01
     875.0     940.0   1.672359e+01   1.710621e+01
     940.0    1000.0   1.410528e+01   1.441787e+01
    1000.0    1065.0   1.381401e+01   1.422151e+01
    1065.0    1108.0   8.061130e+00   8.490235e+00
    1108.0    1200.0   1.465619e+01   1.554768e+01
    1200.0    1275.0   8.293604e+00   9.511816e+00
    1275.0    1350.0   5.287446e+00   6.465219e+00
    1350.0    1450.0   3.355449e+00   4.317148e+00
    1450.0    1550.0   1.520885e+00   2.080126e+00
    1550.0    1650.0   1.186594e+00   1.542481e+00
    1650.0    1750.0   6.537127e-01   9.429535e-01
    1750.0    1850.0   6.403585e-01   8.687599e-01
    1850.0    1950.0   7.328312e-01   9.568176e-01
    1950.0    2050.0   7.791858e-01   9.852306e-01
    2050.0    2200.0   1.122454e+00   1.352412e+00
    2200.0    2397.0   1.061745e+00   1.142086e+00
    2397.0    2494.0   3.604330e-01   3.610981e-01
    2494.0    2796.0   5.166451e-01   5.176743e-01
    2796.0    3087.0   9.942401e-02   1.204021e-01
    3087.0    3425.0   1.187589e-02   1.885736e-02
    3425.0    3760.0   5.931359e-04   9.079709e-04
    3760.0    4030.0   1.390977e-04   2.264916e-04
    4030.0    4540.0   1.193260e-03   1.417679e-03
    4540.0    4950.0   3.982745e-04   4.960060e-04
    4950.0    5370.0   3.839295e-06   6.290220e-06
    5370.0    5925.0   5.103236e-06   6.625291e-06
    5925.0    6390.0   4.823806e-06   5.574572e-06
    6390.0    6990.0   9.065833e-08   1.298992e-07
    6990.0    7650.0   9.660767e-11   1.654192e-10
    7650.0    8315.0   1.136552e-07   1.282178e-07
    8315.0    8850.0   2.813261e-11   9.921224e-11
    8850.0    9350.0   2.610340e-11   4.788915e-11
    9350.0    9650.0   6.033064e-09   5.581442e-09
    9650.0   10400.0   1.839972e-10   2.433546e-10
   10400.0   11220.0   3.668106e-15   1.556382e-14
   11220.0   11870.0   6.725142e-12   8.905710e-12
   11870.0   12790.0   2.246100e-15   5.191261e-15
   12790.0   13300.0   1.297028e-13   1.191627e-13
   13300.0   14470.0   1.994485e-18   2.972817e-18
   14470.0   15000.0   2.705782e-16   2.922403e-16
