# CLIMA (atmos repo, /models/atmos) band-resolved TOA OLR for the matched
# saturated Ts=300 K column (1 bar N2 + 330 ppm CO2 + H2O, 200 K strat,
# IMW=0/RSURF=1/INVERSE=1/IUP=1/ND=101/P0=1e-8bar; profile reproduces
# Kopparapu's clima_last.tab 300 K block to dT<0.35 K).  Two k-coefficient
# generations through the SAME ir.f (55 intervals, BPS continuum):
#   olr_2013era : NEWHITRAN_ir_55_H2O.dat + Ramses_HITRAN_ir_55_CO2.dat
#                 (pre-2021 default; total 251.79 W/m2 = Kopparapu 2013's
#                 tabulated FTIR 250.2 to 0.6%)
#   olr_wolf2016: Wolf_HITRAN2016_ir_55_{H2O,CO2}.dat (commit 54934f6,
#                 2021-02-10, by E. Wolf/HELIOS-K; total 267.46 W/m2)
# Generated 2026-06-12 via the c-exocol band-OLR patch in CLIMA/RADTRANS/ir.f.
# columns: wl_cm-1  wu_cm-1  olr_2013era_W/m2  olr_wolf2016_W/m2
      0.0      40.0   9.019159e-02   9.369248e-02
     40.0     100.0   1.219091e+00   1.282129e+00
    100.0     160.0   3.282791e+00   3.488136e+00
    160.0     220.0   5.632531e+00   6.130783e+00
    220.0     280.0   8.086122e+00   8.800612e+00
    280.0     330.0   8.485673e+00   9.290931e+00
    330.0     380.0   9.996437e+00   1.104799e+01
    380.0     440.0   1.437443e+01   1.572992e+01
    440.0     495.0   1.441736e+01   1.581411e+01
    495.0     545.0   1.404234e+01   1.537124e+01
    545.0     617.0   1.964964e+01   2.099656e+01
    617.0     667.0   6.965462e+00   6.726848e+00
    667.0     720.0   6.346600e+00   6.091933e+00
    720.0     800.0   2.187445e+01   2.233875e+01
    800.0     875.0   2.316681e+01   2.362227e+01
    875.0     940.0   1.869799e+01   1.892802e+01
    940.0    1000.0   1.583291e+01   1.595172e+01
   1000.0    1065.0   1.540550e+01   1.561475e+01
   1065.0    1108.0   8.800016e+00   9.119885e+00
   1108.0    1200.0   1.516646e+01   1.634156e+01
   1200.0    1275.0   7.984935e+00   9.194884e+00
   1275.0    1350.0   4.556632e+00   5.535411e+00
   1350.0    1450.0   2.217263e+00   3.000325e+00
   1450.0    1550.0   7.461365e-01   1.114319e+00
   1550.0    1650.0   6.070388e-01   8.783533e-01
   1650.0    1750.0   2.874333e-01   4.606821e-01
   1750.0    1850.0   3.519203e-01   5.259773e-01
   1850.0    1950.0   4.657632e-01   6.669473e-01
   1950.0    2050.0   5.900569e-01   8.038909e-01
   2050.0    2200.0   1.022588e+00   1.206986e+00
   2200.0    2397.0   4.817968e-01   3.245116e-01
   2397.0    2494.0   3.091783e-01   3.073113e-01
   2494.0    2796.0   5.355076e-01   5.351801e-01
   2796.0    3087.0   9.490810e-02   1.106151e-01
   3087.0    3425.0   7.968824e-03   1.313473e-02
   3425.0    3760.0   1.697259e-04   2.558219e-04
   3760.0    4030.0   5.301241e-05   8.230908e-05
   4030.0    4540.0   9.718073e-04   1.118998e-03
   4540.0    4950.0   1.526796e-04   1.620992e-04
   4950.0    5370.0   2.232581e-06   3.075497e-06
   5370.0    5925.0   2.089956e-06   2.427037e-06
   5925.0    6390.0   5.382494e-07   5.413686e-07
   6390.0    6990.0   2.627625e-08   3.025428e-08
   6990.0    7650.0   3.549705e-11   5.064930e-11
   7650.0    8315.0   2.311925e-10   2.483081e-10
   8315.0    8850.0   4.031215e-12   6.122393e-12
   8850.0    9350.0   6.728630e-13   7.669844e-13
   9350.0    9650.0   1.435094e-13   1.434528e-13
   9650.0   10400.0   2.557636e-14   2.733560e-14
  10400.0   11220.0   2.335520e-16   3.876161e-16
  11220.0   11870.0   2.929809e-17   2.943272e-17
  11870.0   12790.0   8.420610e-19   9.470377e-19
  12790.0   13300.0   2.497150e-20   2.496555e-20
  13300.0   14470.0   8.640090e-22   9.464943e-22
  14470.0   15000.0   1.090630e-23   1.090876e-23
